"I have not received this item yet.  I tracked this item and it seems that it was delivered Aug 12 to Phoenix, Az.  I live in Oklahoma and that was the address on the shipment.  What can be done about this?  Thank yo. Please let me hear from you soon.  L. Jackson",1,4
"As far as home made ice cream goes, the finnished product turns out pretty good. I would recommend using a mix (Wal Mart and K Mart sell many mixes at only $2) though, for it's much cheaper and tastes better than home made recipies. The only problem is that the ice cream is a little soft when done, otherwise this product is good",1,3
Great value for your money. Kingston has always been a reliable memory chip company and the same goes for this product.,0,3
I purchased a Biopod in March of 2006. Received brand new unit that included Omnipass software version 2.09. This software version released in 2004.NEWLINE NEWLINE Contacted company that produced the software and they refused to upgrade to their latest version (v4) that had been released a month earlier unless they charged me the upgrade fee.NEWLINE NEWLINE The version of software that comes with the Biopod (v2.09) pretty much only works with Internet Explorer and other Microsoft software. The new version (4) supposedly works with Firefox and several other non-Microsoft software programs. NEWLINE NEWLINE I recommend you avoid this product due to old software. I returned mine and am ordering the IBM Fingerprint Reader,0,4
"I have had this for almost a year, and for the money I cannot recommend a better product. I would buy another",1,3
"I hardly ever write reviews but I felt the need to on this item. I bought the senseo deluxe last night, I wanted the deluxe model so that I could also make tea. The setup was quick and easy and the price was great compared to the competition. Here's the problem, I brewed a cup of coffee and this was the weakest coffee EVER and I'm not even a big coffee drinker. To make matters worse each pod only makes 4oz of coffee. Who drinks only 4 ounces of anything. You would need to use 2 pods just to make 8 oz and then the coffee is still weak. Which is wear the waste of money comes in. The senseo pods are the same price as the home cafe pods but you will go through them twice as fast. I personally ended up returning this machine and getting a tassimo this morning. I originally bought the Senseo because I didnt want to spend Tassimo money but in the end you pay for what you get. Now the tassimo is great. I've made hot chocolate for my daughter and tea for my son. Everyone likes it. Good luck everyone.",1,4
"Outstanding item. Plenty of room to carry dvds. Enough padding to protect the player, but not too bulky",0,3
"I have purchased many different brands of measuring spoons and cups in the past but these are by far the best!  Heavy (but not too heavy to use) so the handles don't bend (or float around in the dishwasher), shaped well so they fit into containers and spice bottles easily, easy to level and the measurement markings will not fade away (they are engraved).  I love my set...will definately buy another set (cooking is my hobby)",1,3
"The heater is great. If it had a timer it would be even greater. However, it serves the intended purpose well. The ""cool to the touch"" feature is perfect since I have a toddler. I never leave it unattended but it's nice to know that if the baby somehow gets close to it there won't be a diaster",1,3
I got rid of my electric can opener when I bought this one.  There is no need for it anymore.  This can opener works like a charm and very easy to use.  Does not take up any space at all.NEWLINE Love it!!!!!!!,1,3
"Great price, poor product. They are beautiful upon arrival. I washed them according to manufacturer's instructions. You would not believe the copius amounts of lint that piled up in the lint catcher of my dryer (usually a sign of poor fabric quality). While folding them up, I discovered that most of the hems had unraveled and frayed. And I hadn't even used them yet! Unbelievable. I returned them for a full refund, including shipping (and I stupidly purchased 2 sets). Goes to show you get what you pay for. Never again",1,4
first 5 minutes: feels like having a cold towel on your neckNEWLINE after 5 minutes: feels like you are wearing a warm/hot wet block on your neck,1,4
"Bought this mouse over 3 months ago, and its still going strong. The batteries last forever (I've never replaced them yet). My only problem is that at times, I will turn off the mouse by attaching the receiver to the bottom, but it won't seem to turn off! I reset the mouse and then attach the receiver again, and this always does the trick. Other than that, very ergonomic, extremely smooth and precise.NEWLINE NEWLINE I like the solid feel of a slightly weighty mouse, and with the batteries, this mouse feels just right. If only it weren't for the mouse not turning off sometimes, I'd give it a 5",0,3
Works very well.  Only drawback it's large - but stands upright.NEWLINE Well worth the money and quit in the low speed.,1,3
"Stay away from vonage!  I have had it for several months, and have been trying to cancel it.  I have been put on hold a MINUMUM of 45 minutes to and HOUR each time, and then transferred to someone ELSE who then does the bait and switch AGAIN. When you go to their web site, the only thing you can get is their custumer service number, which takes you RIGHT BACK to the same old nonsense. I need to cancel because of a military deployment, and all I'm getting is a run around...the same thing happened with AOL, but this is EVEN WORSE. There are tons of blogs out now about how VONAGE SUCKS...check them out. It's no wonder this company is tanking, their customer service is the absolute WORST!!!!!!!! I hope they read this.... they really need to change!!",0,4
